epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,23.2431,1.24759,0.82759,0.99569,0.55082,0.0667719,3.32613e-05,3.32613e-05
2,43.3283,0.80782,0.88578,0.99892,0.3785,0.0334675,6.21994e-05,6.21994e-05
3,63.1403,0.6669,0.90733,0.99892,0.2966,0.000158732,8.67375e-05,8.67375e-05
4,82.9605,0.53673,0.91056,0.99892,0.25645,8.02e-05,8.02e-05,8.02e-05
5,102.76,0.51657,0.93966,0.99892,0.20295,7.36e-05,7.36e-05,7.36e-05
6,122.524,0.46921,0.94397,0.99892,0.20623,6.7e-05,6.7e-05,6.7e-05
7,142.185,0.45524,0.94181,0.99892,0.18614,6.04e-05,6.04e-05,6.04e-05
8,161.774,0.4308,0.94828,0.99892,0.18307,5.38e-05,5.38e-05,5.38e-05
9,181.431,0.44671,0.94935,0.99892,0.1757,4.72e-05,4.72e-05,4.72e-05
10,201.015,0.40223,0.95151,0.99892,0.16693,4.06e-05,4.06e-05,4.06e-05
11,220.678,0.427,0.94828,0.99892,0.16977,3.4e-05,3.4e-05,3.4e-05
12,240.333,0.40303,0.95259,0.99892,0.16229,2.74e-05,2.74e-05,2.74e-05
13,260.036,0.40138,0.96013,0.99892,0.14878,2.08e-05,2.08e-05,2.08e-05
14,279.701,0.39462,0.96121,0.99892,0.14777,1.42e-05,1.42e-05,1.42e-05
15,299.35,0.41175,0.95905,0.99892,0.14913,7.6e-06,7.6e-06,7.6e-06
1,26.2176,1.20092,0.8061,0.9982,0.53665,0.0667599,3.32734e-05,3.32734e-05
2,51.5557,0.75003,0.89348,0.9994,0.31256,0.0334555,6.22107e-05,6.22107e-05
3,76.9946,0.61617,0.9246,1,0.21879,0.0001467,8.6748e-05,8.6748e-05
4,102.199,0.52008,0.93537,1,0.18991,8.02e-05,8.02e-05,8.02e-05
5,127.277,0.49434,0.93656,1,0.19021,7.36e-05,7.36e-05,7.36e-05
6,152.365,0.45558,0.95931,1,0.1322,6.7e-05,6.7e-05,6.7e-05
7,177.403,0.41582,0.94913,1,0.14377,6.04e-05,6.04e-05,6.04e-05
8,202.492,0.41929,0.95871,1,0.11961,5.38e-05,5.38e-05,5.38e-05
9,227.555,0.40503,0.96828,1,0.10232,4.72e-05,4.72e-05,4.72e-05
10,252.82,0.39629,0.96649,1,0.10877,4.06e-05,4.06e-05,4.06e-05
11,278.109,0.37249,0.9611,1,0.1169,3.4e-05,3.4e-05,3.4e-05
12,303.238,0.38956,0.97247,1,0.09219,2.74e-05,2.74e-05,2.74e-05
13,328.581,0.38532,0.97307,1,0.09083,2.08e-05,2.08e-05,2.08e-05
14,353.893,0.36126,0.96948,1,0.09133,1.42e-05,1.42e-05,1.42e-05
15,379.175,0.3686,0.96948,1,0.0919,7.6e-06,7.6e-06,7.6e-06
